Description,Code,C %,Si %,Mn %,S%,P%,Cr %,Ni %,Mo %,Cu %,Cost $/Kg,,
1E1074,080,0.23,0.5,1.1,0,0,0.6,0.55,0.33,0,0,,
Auste,081,1.15,0.6,13,0,0,0,0,0,0,0,,
Auste 2Cr,082,1.15,0.6,13.3,0,0,1.8,0,0,0,0,,
Auste Spec.,083,1.1,0.5,14,0,0,0,0,0,0,0,,
Auste Mo,084,1.1,0.5,14,0,0,0,0,1.7,0,0,,
Alloy 14PH-7C,085,1.15,0.5,13.2,0,0,0,0,0.87,0,0,,
Auste 12-2,086,1.15,0.5,13,0,0,0,0,1.95,0,0,,
Alloy 14 RD2,087,1.15,0.5,12.5,0,0,0,0,0,0,0,,
13-1 Auste,088,1.17,0.55,13,0,0,0,0,1,0,0,,
CT089,089,1.17,0.55,13,0,0,0.65,0,0.7,0,0,,
Mn Grate Mod,090,1.17,0.5,13,0,0,1.9,0,0.95,0,0,,
14E-1 Auste,091,1.03,0.75,12.8,0,0,0,0,0.95,0,0,,
Alloy 80,092,1.4,0.55,19.5,0,0,0,0,0,0,0,,
Alloy 81,093,1.4,0.55,19.5,0,0,2.45,0,0,0,0,,
Alloy 81 Hz,094,1.3,0.45,22.5,0,0,2.8,0,0,0,0,,
25-20 LC,095,0.15,1,1,0,0,25,20,0,0,0,,
25-12 LC,096,0.25,1.2,0.8,0,0,25,11,0,0,0,,
CD-4MCu,097,0,0.7,0.9,0,0,25,5.85,1.8,3.1,0,,
CH 10,098,0,1,1.5,0,0,24,13,0,0,0,,
CF8M,099,0.02,1.2,1.3,0,0,19,11,2.3,0,0,,
CA6NM,100,0.04,0.7,0.7,0,0,13,4,0.7,0,0,,
GX45,101,0.45,2,0.8,0,0,13,0,0,0,0,,
H3A,102,0.1,0.7,0.7,0,0,13,0.7,0,0,0,,
H3C,103,0,0.6,0.6,0,0,13,3.9,0.5,0,0,,
H6C,104,0.02,1,1,0,0,18,11,2.1,0,0,,
15-5,105,0.04,0.7,0.5,0,0,15,5,0,3,0,,
17-4,106,0.04,0.7,0.5,0,0,17,4,0,3,0,,
20-14,107,0.3,2,1,0,0,20,14,0,0,0,,
20-20-3,108,0.4,1,1,0,0,20,20,0,0,0,,
20-25,109,0.3,1.5,1.5,0,0,20,25,0,0,0,,
22-10,110,0.25,1,1,0,0,21,10,0,0,0,,
25Cr,111,1.2,2,1,0,0,25,0,0,0,0,,
25-12,112,0.35,1,1.5,0,0,24.5,11.5,0,0,0,,
25-20,113,0.35,1,1,0,0,25,20,0,0,0,,
27-4,114,0.4,2,1,0,0,27,4,0,0,0,,
29-9,115,0.35,1.2,1,0,0,27.5,9,0,0,0,,
29-20,116,0.35,1,1,0,0,29,20,0,0,0,,
